public_id,name,slug,category,facility_status,stage_of_development,is_live,is_under_construction,longitude,latitude,city,admin_region,country_code,company_id,dcbyte_url
BE84Yw,EC1 Grafton,ec1-grafton,Colocation,Open,live,True,False,152.936411782,-29.688429228,Grafton,New South Wales,AU,NE8bVl,https://app.dcbyte.com/property/ec1-grafton
w9ZZKB,,émerainville-paris,Self-build,Open,live,True,False,2.587338491,48.829257186,Le Plessis-Trevise,Ile-de-France,FR,,https://app.dcbyte.com/property/émerainville-paris
yGl4zG,DUB 10 (Blanchardstown),digital-realty-dub-10-(blanchardstown),Colocation,Open,live,True,False,-6.370546,53.412261,Blanchardstown,Leinster,IE,7EmxWb,https://app.dcbyte.com/property/digital-realty-dub-10-(blanchardstown)
BJg5ZR,SYD02,vocus-syd02,Colocation,Open,live,True,False,150.969823188,-33.733700516,Castle Hill,New South Wales,AU,0EQy0E,https://app.dcbyte.com/property/vocus-syd02
GDr41B,Airedale Auckland,airedale-auckland-planb,Colocation,Open,live,True,False,174.766290898,-36.855466291,Auckland,Auckland,NZ,Xl9PR2,https://app.dcbyte.com/property/airedale-auckland-planb
R8QavG,BD1,bd1-,Colocation,Open,live,True,False,107.678604941,-6.93767015,Bandung,West Java,ID,4EK0L2,https://app.dcbyte.com/property/bd1-
wOmWrR,Saint-Priest,saint-priest,Colocation,Open,live,True,False,4.955255562,45.713402634,Saint-Priest,Rhone-Alpes,FR,zWM53W,https://app.dcbyte.com/property/saint-priest
6w9Y7w,Queen Street,queen-street,Colocation,Open,live,True,False,174.765550481,-36.849338728,Auckland,Auckland,NZ,pWZ8B2,https://app.dcbyte.com/property/queen-street
GZNooG,TGT Hong Kong Data Centre 2,towngas-telecom-tgt-hong-kong-data-centre-2,Colocation,Open,live,True,False,114.274540993,22.287079045,Kowloon,Kowloon City,HK,4EKGZE,https://app.dcbyte.com/property/towngas-telecom-tgt-hong-kong-data-centre-2
BEo8VG,MEGA Two,sunevision-iadvantage-mega-two,Colocation,Open,live,True,False,114.190482364,22.398230433,Sha Tin,Sha Tin,HK,P2gBnE,https://app.dcbyte.com/property/sunevision-iadvantage-mega-two
6w9X0G,HOU2,hou2,Colocation,Open,live,True,False,-95.556737678,29.844350285,Jersey Village,Texas,US,0EQbZ2,https://app.dcbyte.com/property/hou2
RjWxeG,Kaohsiung Xinya IDC,kaohsiung-xinya-idc,Colocation,Open,live,True,False,120.315168208,22.582002642,Kaohsiung,Kaohsiung,TW,0EQbO2,https://app.dcbyte.com/property/kaohsiung-xinya-idc
RpqWLG,Calle de la Maraton,calle-de-la-maraton,Colocation,Open,live,True,False,-3.62333469,40.440284715,San Blas,Madrid,ES,2RvLZ2,https://app.dcbyte.com/property/calle-de-la-maraton
G6EMNR,,verizon-waltham,Self-build,Open,live,True,False,-71.239032954,42.377652396,Waltham,Massachusetts,US,,https://app.dcbyte.com/property/verizon-waltham
BXN1VG,Chandivali Campus - Mumbai 5,chandivali-campus---mumbai-5,Colocation,Open,live,True,False,72.890358228,19.114598811,Powai,Maharashtra,IN,vWx5EJ,https://app.dcbyte.com/property/chandivali-campus---mumbai-5
G3MKAB,PAR13/14,par13and14,Colocation,Open,"live, committed",True,False,2.207322581,48.677473896,Orsay,Ile-de-France,FR,7EmxWb,https://app.dcbyte.com/property/par13and14
R0aAnG,SG4,equinix-sg4,Colocation,Open,"live, committed",True,False,103.893128185,1.33902056,Singapore,,SG,XW5rEZ,https://app.dcbyte.com/property/equinix-sg4
GZNxoG,1918 Wake Forest Rd,1918-wake-forest-rd,Colocation,Open,live,True,False,-78.624199567,35.805852394,Raleigh,North Carolina,US,V2kO62,https://app.dcbyte.com/property/1918-wake-forest-rd
RYKQ6w,Moscow IV,datapro-moscow-iv,Colocation,Open,"live, committed",True,False,37.433331537,55.694156112,Mikhalkovo,Moscow,RU,VWNrNW,https://app.dcbyte.com/property/datapro-moscow-iv
R2n5MR,,huawei-moscow,Self-build,Open,live,True,False,37.422629785,55.770669756,Shchukino,Moscow,RU,,https://app.dcbyte.com/property/huawei-moscow
GrZMgG,,dpc,Self-build,,,False,False,74.604544852,42.843446393,Bishkek,Chuy,KG,,https://app.dcbyte.com/property/dpc
R0W5MB,,meguro-techno-building-,Self-build,Open,live,True,False,139.713619299,35.62648561,Tokyo,Tokyo,JP,,https://app.dcbyte.com/property/meguro-techno-building-
GdJxOB,,hamala,Self-build,Open,live,True,False,50.474325923,26.154617237,Madinat Hamad,Central Governorate,BH,,https://app.dcbyte.com/property/hamala
BE803w,,aws-alba-dc,Self-build,Open,"live, committed",True,False,50.604996386,26.069501096,Ar Rifa',Northern,BH,,https://app.dcbyte.com/property/aws-alba-dc
GnoYyw,MO1,mo1,Colocation,Open,live,True,False,-100.19323297,25.766426295,Apodaca,Nuevo Leon,MX,XW5rEZ,https://app.dcbyte.com/property/mo1
RpYMAG,Hulan Data Center,china-telecom-hulan-data-center-7,Colocation,Open,live,True,False,121.445683628,31.346899361,Baoshan,Shanghai Shi,CN,5W38AE,https://app.dcbyte.com/property/china-telecom-hulan-data-center-7
BXpQdB,,manama,Self-build,Open,live,True,False,50.570865384,26.222726896,Manama,Manama,BH,,https://app.dcbyte.com/property/manama
Gm5mmG,Unaizah,unaizah,Colocation,Open,live,True,False,43.984065471,26.125982622,Unaizah,Al-Qassim,SA,6WVnjW,https://app.dcbyte.com/property/unaizah
B1A5OB,,frankfurt-2---roedelheim,Self-build,Open,live,True,False,8.612870994,50.129932381,Eschborn,Hesse,DE,,https://app.dcbyte.com/property/frankfurt-2---roedelheim
RpYeVG,ST4-Longovilo,st4-longovilo,Colocation,Open,live,True,False,-71.400445427,-33.95573942,Melipilla,Santiago Metropolitan,CL,XW5rEZ,https://app.dcbyte.com/property/st4-longovilo
R2njLR,Fengtai IDC,fengtai-idc,Colocation,,,False,False,116.275015894,39.833838367,Fengtai,Beijing,CN,zWMKv2,https://app.dcbyte.com/property/fengtai-idc
wOmbdR,,revera-albany-auckland,Self-build,Open,live,True,False,174.700499034,-36.749706013,Rothesay Bay,Auckland,NZ,,https://app.dcbyte.com/property/revera-albany-auckland
GyZ1Zw,,edificio-abelias,Self-build,Open,live,True,False,-3.624850797,40.451906748,San Blas,Madrid,ES,,https://app.dcbyte.com/property/edificio-abelias
4RKMVw,EdgeCore Dulles,edgecore-dulles,Colocation,Open,"live, committed",True,False,-77.427182289,39.029512245,Dulles Town Center,Virginia,US,aldLxl,https://app.dcbyte.com/property/edgecore-dulles
R2nDDR,,zambia-national-data-centre-2,Self-build,,,False,False,28.311347134,-15.423143311,Lusaka,Lusaka,ZM,,https://app.dcbyte.com/property/zambia-national-data-centre-2
R8VMWw,SA107,3data-sa107,Colocation,Open,live,True,False,37.59143344,55.340750425,Klimovsk,Moskovskaya,RU,02rVM2,https://app.dcbyte.com/property/3data-sa107
GDrMDB,BM1,bm1,Colocation,Open,live,True,False,37.165740669,55.580412892,Kokoshkino,Moskovskaya,RU,02rVM2,https://app.dcbyte.com/property/bm1
RjmqQB,Busan IDC,kt-busan-idc,Colocation,Open,live,True,False,129.038963904,35.111120997,Busan,Busan,KR,PWOLjE,https://app.dcbyte.com/property/kt-busan-idc
R8Qm9G,LM1-Olguin,lm1-olguin,Colocation,Open,live,True,False,-76.972955459,-12.087211223,La Molina,Lima,PE,XW5rEZ,https://app.dcbyte.com/property/lm1-olguin
Gz42VB,La Massana,la-massana,Colocation,Open,live,True,False,1.517070845,42.544615401,la Massana,La Massana,AD,WernOE,https://app.dcbyte.com/property/la-massana
RxYgaG,Remington Technology Park,remington-technology-park,Colocation,Open,committed,False,False,-77.803958183,38.548502872,Bealeton,Virginia,US,W3dMqE,https://app.dcbyte.com/property/remington-technology-park
RNQ28B,Monserrate Data Center,grupo-asd-monserrate-data-center,Colocation,Open,live,True,False,-74.068449155,4.61964781,Bogota,Bogota D.C.,CO,q26K9l,https://app.dcbyte.com/property/grupo-asd-monserrate-data-center
GLPrAG,ZH13,shanghai-athub-zh13,Colocation,Open,live,True,False,120.327461047,30.21157231,Xinjie,Zhejiang Sheng,CN,8W1bqE,https://app.dcbyte.com/property/shanghai-athub-zh13
